,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
344,Physical Attack; Vandalism,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",39.045753,-76.641273,,
345,Suspected Physical Attack,2012,10/24/2012,12:00 AM,10/24/2012,12:01 AM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",39.045753,-76.641273,,
346,Transmission System Interruption,2012,10/23/2012,9:10 AM,10/23/2012,9:16 AM,"Crawfordsville Electric, Light & Power",Indiana,RFC,49,"9,800",transmission interruption,40.273502,-86.126976,,
347,Physical Attack; Vandalism,2012,10/22/2012,12:00 AM,10/22/2012,12:01 AM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,"vandalism, physical",39.045753,-76.641273,,
348,Vandalism; Theft,2012,10/15/2012,2:15 PM,10/15/2012,2:16 PM,ISO New England,Vermont,NPCC,0,0,"vandalism, physical",44,-72.699997,,
349,Electrical System Separation (Islanding),2012,10/14/2012,10:36 AM,10/14/2012,10:50 AM,Pacific Gas & Electric Co,California,WECC,3,"2,035",islanding,36.778259,-119.417931,,
350,Vandalsim,2012,10/11/2012,12:00 AM,10/11/2012,12:01 AM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,vandalism,39.045753,-76.641273,,
351,Vandalsim,2012,10/9/2012,12:00 AM,10/9/2012,12:01 AM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,vandalism,39.045753,-76.641273,,
352,Suspected Physical Attack,2012,10/5/2012,5:30 PM,10/5/2012,5:50 PM,Western Area Power Authority - Sierra Nevada Region,California,WECC,,,"vandalism, physical",36.778259,-119.417931,,
353,Voltage Reduction,2012,9/26/2012,9:16 PM,9/26/2012,10:18 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"371,526",voltage reduction,18.2208,66.5901,,
354,Suspected Physical Attack,2012,9/24/2012,12:00 AM,9/25/2012,12:00 AM,PEPCO (Potomac Electric Power Company),Maryland,RFC,0,0,"vandalism, physical",39.045753,-76.641273,,
355,Severe Weather - Thunderstorms,2012,9/8/2012,3:53 PM,9/9/2012,7:46 PM,Dominion Virginia Power,Virginia,SERC,475,"119,000","severe weather, thunderstorm",37.926868,-78.024902,,
356,Severe Weather - Thunderstorms,2012,9/8/2012,3:40 PM,9/8/2012,6:45 PM,PEPCO (Potomac Electric Power Company),Maryland,RFC,UNK,"65,000","severe weather, thunderstorm",39.045753,-76.641273,,
357,Severe Weather - Thunderstorms,2012,9/7/2012,9:30 PM,9/8/2012,1:00 AM,Entergy Corp,Arkansas,SERC,UNK,"64,951","severe weather, thunderstorm",34.799999,-92.199997,,
358,Fuel Supply Deficiency (Water),2012,9/6/2012,4:45 AM,Ongoing,Ongoing,California Department of Water Resources,California,WECC,,,"fuel supply emergency, hydro",36.778259,-119.417931,,
359,Severe Weather - Hurricane Isaac,2012,8/29/2012,6:53 AM,8/30/2012,2:00 PM,Dixie Electric Membership Corp,Louisiana,SERC,150,"68,018","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
360,Severe Weather - Hurricane Isaac,2012,8/29/2012,9:48 AM,8/31/2012,12:55 PM,Cleco Power LLC,Louisiana,SPP,Unknown,"95,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
361,Severe Weather - Hurricane Isaac,2012,8/29/2012,9:00 AM,8/31/2012,12:00 PM,Louisiana Generating LLC,Louisiana,SERC,300,"50,000","severe weather, hurricane/tropical storm",30.39183,-92.329102,,
362,Severe Weather - Hurricane Isaac,2012,8/28/2012,6:00 AM,9/4/2012,8:00 AM,Entergy,"Arkansas, Louisiana, Mississippi",SERC,Unknown,"770,000","severe weather, hurricane/tropical storm",34.799999,-92.199997,,
363,Severe Weather - TS Isaac,2012,8/26/2012,10:04 PM,8/27/2012,2:04 AM,Florida Power & Light,Florida,FRCC,,"440,000","severe weather, hurricane/tropical storm",27.994402,-81.760254,,
364,Suspected Physical Attack,2012,8/19/2012,8:42 AM,8/19/2012,12:08 PM,El Paso Electric Co,Texas,WECC,12,"3,314","vandalism, physical",31,-100,,
365,Vandalism,2012,8/16/2012,1:13 PM,8/16/2012,1:13 PM,Northern Indiana Public Service Company,Indiana,RFC,0,0,vandalism,40.273502,-86.126976,,
366,Vandalism,2012,8/13/2012,1:15 PM,8/13/2012,1:15 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,vandalism,35.860119,-86.660156,,
367,Suspected Physical Attack,2012,8/11/2012,12:45 PM,8/11/2012,5:00 PM,"City of Tacoma, TPWR",Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
368,Severe Weather - Thunderstorms,2012,8/4/2012,5:30 PM,8/5/2012,12:10 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"325,000","severe weather, thunderstorm",40,-89,,
369,Severe Weather - Thunderstorms,2012,8/4/2012,4:00 AM,8/4/2012,7:20 AM,Northern Indiana Public Service Company,Indiana,RFC,,"61,413","severe weather, thunderstorm",40.273502,-86.126976,,
370,Electrical System Separation (Islanding),2012,8/4/2012,3:55 AM,8/4/2012,4:21 AM,Pacific Gas & Electric Co,California,WECC,5,127,islanding,36.778259,-119.417931,,
371,Public Appeal to Reduce Electricity Usage,2012,8/1/2012,12:00 PM,8/1/2012,12:00 PM,Oklahoma Gas & Electric Co,Arkansas,SPP,Unknown,Unknown,public appeal,34.799999,-92.199997,,
372,Severe Weather - Thunderstorms,2012,7/27/2012,5:19 PM,7/28/2012,5:19 PM,Duke Energy Midwest,Indiana,RFC,Unknown,"52,702","severe weather, thunderstorm",40.273502,-86.126976,,
373,Severe Weather - Thunderstorms,2012,7/26/2012,6:21 PM,7/28/2012,11:30 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,,"65,000","severe weather, thunderstorm",41.203323,-77.194527,,
374,Severe Weather - Thunderstorms,2012,7/26/2012,6:14 PM,7/27/2012,6:14 PM,FirstEnergy Corp.: Pennsylvania Electric Company,Pennsylvania,RFC,,"65,112","severe weather, thunderstorm",41.203323,-77.194527,,
375,Severe Weather - Thunderstorms,2012,7/26/2012,6:30 PM,7/27/2012,5:22 PM,American Electric Power (AEP),Ohio,RFC,Unknown,"57,054","severe weather, thunderstorm",40.367474,-82.996216,,
376,Severe Weather - Thunderstorms,2012,7/24/2012,7:30 AM,7/24/2012,10:00 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"330,000","severe weather, thunderstorm",40,-89,,
377,Severe Weather - Thunderstorms,2012,7/24/2012,7:01 AM,7/24/2012,4:30 PM,Northern Indiana Public Service Company,Indiana,RFC,,"82,621","severe weather, thunderstorm",40.273502,-86.126976,,
378,Severe Weather; Equipment Failure,2012,7/21/2012,2:19 AM,7/21/2012,5:20 AM,Lubbock Power and Light,Texas,SPP,220,"70,000","severe weather, equipment failure",31,-100,,
379,Vandalism,2012,7/19/2012,12:32 PM,7/19/2012,12:33 PM,Delmarva Power & Light Company,Delaware,RFC,,,vandalism,39,-75.5,,
380,Fuel Supply Deficiency (Coal),2012,7/19/2012,10:30 AM,7/31/2012,11:00 AM,Somerset Operating Company,New York,NPCC,675,Unknown,"fuel supply emergency, coal",43,-75,,
381,Severe Weather - Thunderstorms,2012,7/18/2012,2:16 PM,7/19/2012,11:58 PM,Duke Energy Midwest,"Ohio, Kentucky, Indiana",RFC,480,"103,000","severe weather, thunderstorm",40.367474,-82.996216,,
382,Severe Weather - Thunderstorms,2012,7/18/2012,4:20 PM,7/18/2012,7:05 PM,American Electric Power (AEP),Ohio,RFC,Unknown,"67,000","severe weather, thunderstorm",40.367474,-82.996216,,
383,Severe Weather - Thunderstorms,2012,7/18/2012,11:00 PM,7/19/2012,6:00 AM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"181,000","severe weather, thunderstorm",40,-89,,
384,Public Appeal to Reduce Energy Usage,2012,7/16/2012,11:27 AM,7/16/2012,12:29 PM,North Little Rock Electric Department,Arkansas,SPP,,,public appeal,34.799999,-92.199997,,
385,Severe Weather - Thunderstorms,2012,7/7/2012,6:06 AM,7/9/2012,11:00 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,,"64,500","severe weather, thunderstorm",41.203323,-77.194527,,
386,Severe Weather - Thunderstorms,2012,7/7/2012,6:00 PM,7/9/2012,7:01 PM,FirstEnergy Corp. Jersey Central Power & Light,New Jersey,RFC,,"95,400","severe weather, thunderstorm",39.833851,-74.871826,,
387,Fuel Supply Deficiency (Water),2012,7/7/2012,4:00 AM,7/10/2012,4:00 AM,California Department of Water Resources,California,WECC,Unknown,0,"fuel supply emergency, hydro",36.778259,-119.417931,,
388,Vandalism,2012,7/6/2012,3:05 PM,7/6/2012,3:06 PM,City of Tacoma - TPWR,Washington,WECC,,,vandalism,47.751076,-120.740135,,
389,Severe Weather - Thunderstorms,2012,7/5/2012,12:00 AM,7/6/2012,8:30 PM,Consumers Energy,Michigan,RFC,Unknown,"111,000","severe weather, thunderstorm",44.182205,-84.506836,,
390,Severe Weather - Wind & Storms,2012,7/5/2012,7:00 PM,7/6/2012,4:00 PM,Tennessee Valley Authority (TVA),Tennessee,SERC,,"50,001","severe weather, wind, storm",35.860119,-86.660156,,
391,Operational Failure; Storm Damage,2012,7/1/2012,4:47 PM,7/1/2012,11:00 PM,North Carolina Municipal Power Agency #1,North Carolina,SERC,48,"6,100","equipment failure, severe weather, storm",35.782169,-80.793457,,
392,Severe Weather,2012,7/1/2012,5:45 PM,7/1/2012,10:15 PM,"Progress Energy, Carolinas",North Carolina,SERC,Unknown,"69,106",severe weather,35.782169,-80.793457,,
393,Severe Weather - Thunderstorms,2012,7/1/2012,1:00 PM,7/3/2012,3:00 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"320,000","severe weather, thunderstorm",40,-89,,
394,Severe Weather - Thunderstorms,2012,6/30/2012,1:15 AM,7/7/2012,5:33 PM,Atlantic City Electric,New Jersey,RFC,UNK,"205,000","severe weather, thunderstorm",39.833851,-74.871826,,
395,Public Appeal to Reduce Electricity Usage,2012,6/30/2012,3:00 PM,7/2/2012,12:00 PM,Tennessee Valley Authority (TVA),Tennessee,SERC,UNK,UNK,public appeal,35.860119,-86.660156,,
396,Severe Weather - Thunderstorms,2012,6/30/2012,10:30 PM,7/2/2012,8:11 AM,"Southern Maryland Electric Cooperative, Inc.",Maryland,RFC,354,"60,000","severe weather, thunderstorm",39.045753,-76.641273,,
397,Severe Weather - Thunderstorms,2012,6/30/2012,1:00 AM,7/3/2012,1:00 AM,Delmarva Power & Light Company,Maryland,RFC,0,"86,390","severe weather, thunderstorm",39.045753,-76.641273,,
398,Severe Weather - Thunderstorms,2012,6/29/2012,5:15 PM,7/2/2012,11:59 PM,Duke Energy Midwest,"Indiana, Kentucky, Ohio",RFC,"2,946","4,645,572","severe weather, thunderstorm",40.273502,-86.126976,,
399,Public Appeal to Reduce Electricity Usage,2012,6/29/2012,4:00 PM,6/29/2012,9:00 PM,Entergy,Arkansas,SERC,45,"7,935",public appeal,34.799999,-92.199997,,
400,Severe Weather - Thunderstorms,2012,6/29/2012,7:00 PM,7/7/2012,7:43 PM,FirstEnergy (Potomac Edison),"Maryland, West Virginia",RFC,UNK,"145,000","severe weather, thunderstorm",39.045753,-76.641273,,
401,Severe Weather - Thunderstorms,2012,6/29/2012,2:10 PM,7/4/2012,6:00 PM,Dayton Power & Light,Ohio,RFC,500,"175,000","severe weather, thunderstorm",40.367474,-82.996216,,
402,Equipment Trip & Failure,2012,6/29/2012,12:10 PM,6/29/2012,5:02 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"1,800","900,000",equipment failure,18.2208,66.5901,,
403,Severe Weather - Thunderstorms,2012,6/29/2012,4:00 PM,7/2/2012,4:00 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio, West Virginia",RFC,UNK,"1,355,919","severe weather, thunderstorm",40.273502,-86.126976,,
404,Severe Weather - Thunderstorms,2012,6/29/2012,10:29 PM,7/4/2012,3:36 PM,Dominion,Virginia,SERC,"5,000","880,000","severe weather, thunderstorm",37.926868,-78.024902,,
405,Severe Weather - Thunderstorms,2012,6/29/2012,10:15 PM,7/5/2012,12:52 PM,Pepco,Maryland,RFC,"3,000","425,000","severe weather, thunderstorm",39.045753,-76.641273,,
406,Severe Weather - Thunderstorms,2012,6/29/2012,10:43 PM,7/5/2012,11:50 AM,Baltimore Gas & Electric Company (BGE),Maryland,RFC,"1,465","600,000","severe weather, thunderstorm",39.045753,-76.641273,,
407,Physical Attack,2012,6/29/2012,10:45 AM,6/29/2012,10:45 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
408,Severe Weather - Thunderstorms,2012,6/29/2012,6:24 PM,7/6/2012,10:00 AM,FirstEnergy (Mon Power),West Virginia,RFC,700,"265,000","severe weather, thunderstorm",39,-80.5,,
409,Severe Weather - Thunderstorms,2012,6/29/2012,11:30 PM,6/30/2012,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"109,000","severe weather, thunderstorm",40,-89,,
410,Severe Weather - Wind & Rain,2012,6/25/2012,4:04 PM,6/26/2012,1:45 PM,Dominion,Virginia,SERC,600,"190,000","severe weather, wind, rain",37.926868,-78.024902,,
411,Load Shed,2012,6/23/2012,6:57 PM,6/23/2012,7:28 PM,ISO New England,Massachusetts,NPCC,51,"29,250",load shedding,42.407211,-71.382439,,
412,Severe Weather - Thunderstorms,2012,6/19/2012,4:30 AM,6/20/2012,11:00 PM,Xcel Energy,Minnesota,MRO,UNK,"68,200","severe weather, thunderstorm",46.39241,-94.63623,,
413,Fuel Supply Deficiency (Water),2012,6/19/2012,5:30 AM,6/21/2012,5:30 AM,California Department of Water Resources,California,WECC,UNK,UNK,"fuel supply emergency, hydro",36.778259,-119.417931,,
414,Vandalism,2012,6/13/2012,4:55 PM,6/13/2012,10:09 PM,Public Service Company of New Mexico,New Mexico,WECC,0,0,vandalism,34.307144,-106.018066,,
415,Severe Weather - Thunderstorms,2012,6/12/2012,3:57 PM,6/14/2012,4:57 AM,CenterPoint Energy,Texas,TRE,920,"175,000","severe weather, thunderstorm",31,-100,,
416,Severe Weather - Thunderstorms,2012,6/11/2012,7:50 PM,6/12/2012,3:00 PM,Southern Company,"Alabama, Georgia",SERC,368,"110,591","severe weather, thunderstorm",32.31823,-86.902298,,
417,Load Shed,2012,6/8/2012,5:20 PM,6/8/2012,5:25 PM,Public Service Company of Colorado,Colorado,WECC,120,"30,379",load shedding,39.113014,-105.358887,,
418,Vandalism,2012,6/6/2012,12:37 PM,6/6/2012,12:37 PM,Potomac Electric Power Company (PEPCO),Maryland,RFC,0,0,vandalism,39.045753,-76.641273,,
419,Vandalism,2012,6/6/2012,8:00 AM,6/6/2012,8:00 AM,New York Power Authority,New York,NPCC,,,vandalism,43,-75,,
420,Vandalism,2012,6/2/2012,7:30 AM,6/2/2012,11:35 AM,Pacific Gas and Electric Company,California,WECC,,,vandalism,36.778259,-119.417931,,
421,Physical Attack,2012,5/31/2012,11:45 PM,6/1/2012,4:30 AM,American Electric Power (AEP),Ohio,RFC,0,0,"vandalism, physical",40.367474,-82.996216,,
422,Physical Attack,2012,5/29/2012,6:30 PM,5/29/2012,7:40 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
423,Severe Weather - Thunderstorms,2012,5/29/2012,8:35 PM,5/31/2012,10:00 AM,Oklahoma Gas & Electric,Oklahoma,SPP,UNK,"112,000","severe weather, thunderstorm",36.084621,-96.921387,,
424,Physical Attack,2012,5/24/2012,3:20 PM,5/25/2012,5:29 PM,ISO New England,Massachusetts,NPCC,UNK,UNK,"vandalism, physical",42.407211,-71.382439,,
425,Vandalism,2012,5/11/2012,11:05 AM,5/11/2012,11:20 AM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
426,Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,5:45 PM,5/7/2012,6:06 PM,American Electric Power (AEP),Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm",40.367474,-82.996216,,
427,Vandalism,2012,5/7/2012,12:50 PM,5/7/2012,2:00 PM,ISO New England,Vermont,NPCC,0,0,vandalism,44,-72.699997,,
428,Suspected Physical Attack,2012,4/23/2012,11:56 AM,4/23/2012,3:35 PM,Seattle City Light,Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
429,Suspected Physical Attack,2012,4/23/2012,8:11 AM,4/23/2012,12:47 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,"vandalism, physical",40.273502,-86.126976,,
430,Physical Attack,2012,4/21/2012,3:02 PM,4/21/2012,8:09 PM,ISO New England,Massachusetts,NPCC,,,"vandalism, physical",42.407211,-71.382439,,
431,Suspected Physical Attack,2012,4/21/2012,8:55 PM,4/23/2012,4:30 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
432,Severe Weather - Thunderstorms,2012,4/20/2012,2:27 PM,4/21/2012,4:27 AM,CenterPoint Energy,Texas,TRE,,"120,377","severe weather, thunderstorm",31,-100,,
433,Suspected Physical Attack,2012,4/19/2012,7:53 AM,4/19/2012,4:00 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
434,Suspected Physical Attack,2012,4/17/2012,6:11 AM,4/17/2012,5:48 PM,San Diego Gas & Electric Company,California,WECC,0,0,"vandalism, physical",36.778259,-119.417931,,
435,Severe Weather - High Winds,2012,4/16/2012,3:46 PM,4/19/2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,218,"111,393","severe weather, wind",44.182205,-84.506836,,
436,Suspected Physical Attack,2012,4/15/2012,7:38 PM,4/15/2012,9:26 PM,Southern Company,Georgia,SERC,UNK,UNK,"vandalism, physical",33.247875,-83.441162,,
437,Suspected Physical Attack,2012,4/12/2012,8:08 AM,4/12/2012,4:30 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
438,Vandalism,2012,4/11/2012,9:00 AM,4/11/2012,9:00 AM,North Attleborough Electric Department,Massachusetts,NPCC,0,0,vandalism,42.407211,-71.382439,,
439,Physical Attack,2012,4/7/2012,2:35 PM,4/7/2012,2:36 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
440,Physical Attack,2012,4/7/2012,12:25 PM,4/7/2012,12:26 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
441,Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
442,Suspected Physical Attack,2012,4/4/2012,3:32 PM,4/6/2012,3:30 PM,Western Area Power Authority - Sierra Nevada Region (WASN),California,WECC,,,"vandalism, physical",36.778259,-119.417931,,
443,Physical Attack,2012,4/3/2012,3:33 PM,4/3/2012,8:25 PM,Seattle City Light,Washington,WECC,0,0,"vandalism, physical",47.751076,-120.740135,,
444,Vandalism,2012,4/3/2012,11:10 AM,4/3/2012,11:25 AM,ISO New England,Vermont,NPCC,0,0,vandalism,44,-72.699997,,
445,Vandalism,2012,4/1/2012,8:27 PM,4/3/2012,8:28 AM,Mid American Energy Company,Iowa,MRO,0,0,vandalism,42.032974,-93.581543,,
446,Suspected Physical Attack,2012,3/30/2012,11:10 AM,3/30/2012,11:30 AM,ISO New England,Vermont,NPCC,,,"vandalism, physical",44,-72.699997,,
447,Electrical System Separation (Islanding),2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,Michigan,RFC,UNK,0,islanding,44.182205,-84.506836,,
448,Suspected Physical Attack,2012,3/28/2012,10:17 AM,3/28/2012,10:17 AM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
449,Suspected Physical Attack,2012,3/26/2012,1:24 PM,3/26/2012,1:24 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
450,Suspected Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
451,Severe Weather - Thunderstorms,2012,3/20/2012,8:00 AM,3/20/2012,1:00 PM,CenterPoint Energy,Texas,TRE,,"96,000","severe weather, thunderstorm",31,-100,,
452,Suspected Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
453,Suspected Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical",31,-100,,
454,Suspected Physical Attack,2012,3/4/2012,1:27 AM,3/4/2012,6:58 AM,Potomac Electric Power (Pepco Holdings Inc.),Maryland,RFC,,,"vandalism, physical",39.045753,-76.641273,,
455,Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,Michigan,RFC,50,"140,000","severe weather, winter storm",44.182205,-84.506836,,
456,Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,371,"130,000","severe weather, winter storm",44.182205,-84.506836,,
457,Operational Failure/Equipment Malfunction,2012,3/2/2012,1:45 PM,3/2/2012,3:30 PM,"City of Piggott, Arkansas",Arkansas,SERC,,,equipment failure,34.799999,-92.199997,,
458,Severe Weather - Tornadoes,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),"Alabama, Tennessee",SERC,500,UNK,"severe weather, tornado",32.31823,-86.902298,,
459,Suspected Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Oregon,WECC,UNK,UNK,"vandalism, physical",44,-120.5,,
460,Electrical System Separation (Islanding),2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,California,WECC,1,1,islanding,36.778259,-119.417931,,
461,Suspected Physical Attack,2012,2/24/2012,11:24 AM,2/24/2012,11:49 AM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
462,Suspected Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,Texas,TRE,0,0,"vandalism, physical",31,-100,,
463,Suspected Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,New Hampshire,NPCC,0,0,"vandalism, physical",44,-71.5,,
464,Severe Weather - Winter Storm,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,"90,000","severe weather, winter storm",37.839333,-84.27002,,
465,Suspected Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc",Arkansas,SERC,UNK,UNK,"vandalism, cyber",34.799999,-92.199997,,
466,Suspected Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,Washington,WECC,0,0,"vandalism, physical",47.751076,-120.740135,,
467,Suspected Physical Attack,2012,2/14/2012,7:20 PM,2/15/2012,4:00 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
468,Suspected Physical Attack,2012,2/13/2012,7:02 AM,2/13/2012,4:25 PM,Progress Energy Carolinas,North Carolina,SERC,,,"vandalism, physical",35.782169,-80.793457,,
469,Suspected Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),Colorado,WECC,0,0,"vandalism, physical",39.113014,-105.358887,,
470,Suspected Physical Attack,2012,2/11/2012,8:55 AM,2/11/2012,8:55 AM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
471,Vandalism,2012,1/29/2012,12:45 PM,1/29/2012,12:45 PM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
472,Vandalism,2012,1/27/2012,9:40 AM,1/27/2012,9:40 AM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
473,Vandalism,2012,1/24/2012,11:22 AM,1/24/2012,11:22 AM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
474,Severe Weather - Winter Storm,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,Washington,WECC,"1,600","426,000","severe weather, winter storm",47.751076,-120.740135,,
475,Suspected Cyber Attack,2012,1/17/2012,10:31 AM,1/17/2012,5:21 PM,"Pedernales Electric Cooperative, Inc.",Texas,TRE,,0,"vandalism, cyber",31,-100,,
476,Vandalism,2012,1/15/2012,9:35 AM,1/15/2012,9:35 AM,Tacoma Power (TPWR),Washington,WECC,,,vandalism,47.751076,-120.740135,,
477,Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
478,Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,Delaware,RFC,0,0,"vandalism, physical",39,-75.5,,
479,Suspected Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical",39.876019,-117.224121,,
480,Load Shed,2012,1/10/2012,9:30 PM,1/10/2012,9:30 PM,Luminant Energy Company LLC,Texas,TRE,,,load shedding,31,-100,,
481,Vandalism,2012,1/9/2012,2:30 PM,1/9/2012,3:30 PM,ISO New England/Convex,Connecticut,NPCC,,,vandalism,41.599998,-72.699997,,
482,Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding,30.39183,-92.329102,,
483,Sabotage,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,Oklahoma,SPP,0,0,vandalism,36.084621,-96.921387,,
484,Suspected physical attack,2012,1/5/2012,10:28 AM,1/5/2012,12:25 PM,Oklahoma Gas and Electric,Oklahoma,SPP,,,"vandalism, physical",36.084621,-96.921387,,
485,Suspected physical attack,2012,1/4/2012,12:14 PM,1/4/2012,12:14 PM,Tacoma Power (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
486,Suspected Physical Attack,2011,12/31/2011,9:26 PM,12/31/2011,9:26 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
487,Suspected Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,Idaho,WECC,0,0,"vandalism, cyber",44.068203,-114.742043,,
488,Suspected Physical Attack,2011,12/20/2011,9:30 AM,12/20/2011,9:31 AM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
489,Suspected Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,Oregon,WECC,12,"2,500","vandalism, physical",44,-120.5,,
490,Suspected Physical Attack,2011,12/19/2011,8:48 AM,12/19/2011,4:00 PM,City of Tacoma (TPWR),Washington,WECC,,,"vandalism, physical",47.751076,-120.740135,,
491,Suspected Physical Attack,2011,12/13/2011,3:19 AM,12/14/2011,3:19 AM,Dayton Power & Light,Ohio,RFC,,0,"vandalism, physical",40.367474,-82.996216,,
