,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
31,Severe Weather - Thunderstorms,2014,4/29/2014,11:30 PM,4/29/2014,12:30 PM,Southern Company,Alabama,SERC,355,"106,648","severe weather, thunderstorm",32.31823,-86.902298,,
32,Severe Weather - Thunderstorms,2014,4/29/2014,9:37 AM,5/1/2014,9:00 AM,Tennessee Valley Authority,Mississippi,SERC,Unknown,"57,000","severe weather, thunderstorm",33,-90,,
33,Physical Attack - Vandalism,2014,4/27/2014,12:07 PM,4/27/2014,12:09 PM,PacifiCorp,Oregon,WECC,Unknown,Unknown,"vandalism, physical",44,-120.5,,
34,Physical Attack - Vandalism,2014,4/25/2014,7:00 AM,4/25/2014,7:30 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",39,-75.5,,
35,Load shedding of 100 Megawatts,2014,4/23/2014,7:45 PM,4/23/2014,8:37 PM,MISO / Entergy Transmission,Louisiana,SERC,163,"28,000",load shedding,30.39183,-92.329102,,
36,Severe Weather,2014,4/12/2014,8:00 PM,4/15/2014,7:30 PM,Detroit Edison Company,Michigan,RFC,Unknown,"164,000",severe weather,44.182205,-84.506836,,
37,Severe Weather - Thunderstorms,2014,4/12/2014,6:15 PM,4/14/2014,9:00 AM,Consumers Energy,Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",44.182205,-84.506836,,
38,Physical Attack - Vandalism,2014,4/8/2014,1:00 PM,4/8/2014,1:01 PM,"Western Area Power Administration, Sierra Nevada Region",California,WECC,Unknown,Unknown,"vandalism, physical",36.778259,-119.417931,,
39,Voltage Reduction,2014,4/8/2014,11:09 AM,4/8/2014,11:20 AM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction,18.2208,66.5901,,
40,Severe Weather - Wind,2014,4/4/2014,3:30 AM,4/4/2014,8:15 AM,"Entergy Services, Inc.",Arkansas,SERC,Unknown,"57,200","severe weather, wind",34.799999,-92.199997,,
41,Fuel Supply Emergency - Coal,2014,4/3/2014,12:00 AM,Unknown,Unknown,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",31,-100,,
42,Fuel Supply Emergency - Coal,2014,4/3/2014,2:45 PM,4/9/2014,11:53 AM,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",44.5,-89.5,,
43,System Wide Voltage Reduction,2014,3/31/2014,3:41 PM,3/31/2014,8:08 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,Unknown,Unknown,voltage reduction,18.2208,66.5901,,
44,Electrical System Separation (Islanding),2014,3/26/2014,1:37 PM,3/26/2014,2:33 PM,Peak Reliability,Montana,WECC,Unknown,Unknown,islanding,46.96526,-109.533691,,
45,Physical Attack,2014,3/26/2014,4:00 PM,4/10/2014,12:00 PM,ITC Midwest LLC,Iowa,MRO,,,"vandalism, physical",42.032974,-93.581543,,
46,Physical Attack - Vandalism,2014,3/24/2014,11:07 AM,3/24/2014,11:08 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical",39.41922,-111.950684,,
47,Suspected Cyber Attack,2014,3/20/2014,12:00 AM,3/20/2014,12:01 AM,NRG Energy Inc 2,New York,NPCC,Unknown,Unknown,"vandalism, cyber",43,-75,,
48,Physical Attack - Sabatoge,2014,3/17/2014,5:25 PM,3/18/2014,12:56 AM,Arizona Public Service Co,Arizona,WECC,,,vandalism,34.048927,-111.093735,,
49,Physical Attack - Vandalism,2014,3/14/2014,12:34 PM,3/14/2014,4:45 PM,ITC Holdings,Iowa,MRO,Unknown,Unknown,"vandalism, physical",42.032974,-93.581543,,
50,Severe Weather - High Winds,2014,3/12/2014,7:35 PM,3/13/2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,"61,377","severe weather, wind",35.782169,-80.793457,,
51,Suspected Physical Attack,2014,3/11/2014,12:00 AM,3/13/2014,12:00 AM,ITC Midwest LLC,Iowa,MRO,Unknown,Unknown,"vandalism, physical",42.032974,-93.581543,,
52,Severe Weather - Winter Storm,2014,3/7/2014,3:30 AM,3/7/2014,9:00 PM,Duke Energy Carolinas,North Carolina,SERC,1500,"370,900","severe weather, winter storm",35.782169,-80.793457,,
53,Physical Attack,2014,3/5/2014,5:06 PM,3/5/2014,5:07 PM,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical",39.41922,-111.950684,,
54,Fuel Supply Emergency - Coal,2014,3/4/2014,9:06 AM,3/17/2014,9:06 AM,Wisconsin Public Service Corp,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",44.5,-89.5,,
55,Suspected Physical Attack,2014,3/3/2014,5:25 PM,3/3/2014,5:25 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,Unknown,Unknown,"vandalism, physical",43,-75,,
56,Severe Weather - Winter Storm,2014,3/3/2014,6:40 AM,3/3/2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,"65,904","severe weather, winter storm",35.860119,-86.660156,,
57,Fuel Supply Emergency - Hydro,2014,3/3/2014,1:48 AM,3/3/2014,1:49 AM,Public Utility District #1 of Chelan County (CHPD),Washington,WECC,630,Unknown,"fuel supply emergency, hydro",47.751076,-120.740135,,
58,Public Appeal due to Severe Weather - Cold,2014,3/2/2014,7:00 PM,3/4/2014,9:00 AM,ERCOT,Texas,TRE,,,"severe weather, cold",31,-100,,
59,Severe Weather - Thunderstorms/High Winds,2014,2/21/2014,2:53 AM,2/21/2014,9:00 PM,Southern Company,Georgia,SERC,221,"66,445","severe weather, thunderstorm, wind",33.247875,-83.441162,,
60,Severe Weather - Snow/Ice,2014,2/20/2014,4:40 PM,2/21/2014,11:59 PM,Ameren Missouri,"Missouri, Illinois",SERC,Unknown,"66,000","severe weather, winter storm",38.573936,-92.60376,,
61,Physical Attack - Vandalism,2014,2/18/2014,6:43 PM,2/18/2014,6:44 PM,PacifiCorp,Oregon,WECC,,,"vandalism, physical",44,-120.5,,
62,Physical Attack - Vandalism,2014,2/14/2014,1:00 PM,2/14/2014,3:00 PM,PacifiCorp,Oregon,WECC,Unknown,Unknown,"vandalism, physical",44,-120.5,,
63,Severe Weather - Snow/Ice,2014,2/12/2014,12:10 PM,2/15/2014,3:20 PM,Duke Energy Progress,North Carolina,SERC,Unknown,"200,000","severe weather, winter storm",35.782169,-80.793457,,
64,Physical Attack - Vandalism,2014,2/12/2014,2:15 PM,2/12/2014,2:16 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical",44,-72.699997,,
65,Severe Weather - Snow/Ice,2014,2/12/2014,11:03 AM,2/15/2014,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,"120,124","severe weather, winter storm",33.836082,-81.163727,,
66,Severe Weather - Snow/Ice,2014,2/12/2014,7:48 AM,2/15/2014,4:30 AM,Southern Company,Georgia,SERC,"1,246","373,835","severe weather, winter storm",33.247875,-83.441162,,
67,Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:50 PM,2/7/2014,8:30 PM,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal,31,-100,,
68,Public Appeal to Reduce Electricity Usage,2014,2/7/2014,4:30 PM,2/8/2014,9:00 AM,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,31,-100,,
